src,dst,haul_category,direct_distance_km,runs,dijkstra_mean_time_ms,astar_mean_time_ms,dijkstra_median_time_ms,astar_median_time_ms,dijkstra_cost_km,astar_cost_km,cost_equal,cost_diff_km,dijkstra_hops,astar_hops,dijkstra_expanded_nodes,astar_expanded_nodes,expanded_nodes_saved_by_astar,pct_expansion_reduction,dijkstra_relaxations,astar_relaxations,relaxations_saved_by_astar,speedup_mean_d_over_a,speedup_median_d_over_a,mean_time_saved_ms,median_time_saved_ms,pct_time_reduction_mean
PHX,LAS,short,410.84865923201306,200,0.030510498909279704,0.06003499962389469,0.030499999411404133,0.05055000656284392,974.3565005,974.3565005,True,0.0,2,2,4,3,1,25.0,36,26,10,0.5082118614211857,0.6033629169461421,-0.029524500714614987,-0.020050007151439786,-96.76833145994598
PHL,BOS,short,450.1419761839607,200,0.024196000304073095,0.0439300003927201,0.021099986042827368,0.03370002377778292,450.1425979,450.1425979,True,0.0,1,1,2,2,0,0.0,10,10,0,0.550785342312056,0.6261119037173424,-0.019734000088647008,-0.01260003773495555,-81.5589347026295
MSP,ORD,short,536.9953198971815,200,0.027908000338356942,0.053127999999560416,0.022899999748915434,0.0391000066883862,536.9960616,536.9960616,True,0.0,1,1,2,2,0,0.0,14,14,0,0.5252974013436955,0.5856776427538918,-0.025219999661203474,-0.016200006939470768,-90.36835085078071
ORD,MSP,short,536.9953198971815,200,0.03967049968196079,0.07969999918714166,0.02989999484270811,0.04579999949783087,536.9960616,536.9960616,True,0.0,1,1,3,2,1,33.33333333333333,33,16,17,0.4977478053520608,0.6528383225009469,-0.040029499505180866,-0.015900004655122757,-100.90495412484893
LAS,SLC,short,591.9385974194728,200,0.04224149975925684,0.043188500276301056,0.031800009310245514,0.03619998460635543,591.939415,591.939415,True,0.0,1,1,4,2,2,50.0,38,12,26,0.9780728547880634,0.8784536694157202,-0.0009470005170442164,-0.004399975296109915,-2.241872382470733
SLC,LAS,short,591.9385974194728,200,0.05342549993656576,0.06326999951852486,0.03565000952221453,0.05440000677481294,1636.9567056,1636.9567056,True,0.0,2,2,6,4,2,33.33333333333333,71,37,34,0.8444049366702346,0.6553309757806941,-0.009844499581959099,-0.018749997252598405,-18.42659328157503
LAX,PHX,short,594.360881267904,200,0.03381699993042275,0.06100250000599772,0.028499984182417393,0.04409998655319214,594.3617022,594.3617022,True,0.0,1,1,3,2,1,33.33333333333333,29,17,12,0.5543543285455169,0.6462583417807062,-0.027185500075574964,-0.015600002370774746,-80.3900409010502
PHX,LAX,short,594.360881267904,200,0.02122949983458966,0.05110350175527856,0.021099986042827368,0.032100011594593525,594.3617022,594.3617022,True,0.0,1,1,2,2,0,0.0,9,9,0,0.41542162680460215,0.6573202000456957,-0.029874001920688897,-0.011000025551766157,-140.71929227467984
SLC,DEN,short,627.5898237043757,200,0.021968499931972474,0.05156700004590675,0.021200045011937618,0.03539997851476073,627.5906906,627.5906906,True,0.0,1,1,2,2,0,0.0,10,10,0,0.42601857607414323,0.5988716914926328,-0.02959850011393428,-0.014199933502823114,-134.7315483787642
ATL,MCO,short,650.7363445761619,200,0.030718999914824963,0.06547049997607246,0.030399998649954796,0.04680000711232424,650.7372434,650.7372434,True,0.0,1,1,3,2,1,33.33333333333333,37,19,18,0.46920368602732304,0.6495725220082137,-0.0347515000612475,-0.016400008462369442,-113.12705543020121
MCO,ATL,short,650.7363445761619,200,0.035650999925564975,0.05330250016413629,0.030199997127056122,0.04840001929551363,1119.7715415,1119.7715415,True,0.0,2,2,4,3,1,25.0,41,29,12,0.6688429213598532,0.6239666340351122,-0.017651500238571316,-0.018200022168457508,-49.511935921644664
CLT,PHL,short,721.4732222849099,200,0.04760049981996417,0.057934000506065786,0.02829998265951872,0.04510005237534642,721.4742188,721.4742188,True,0.0,1,1,3,2,1,33.33333333333333,37,18,19,0.8216332275376067,0.6274933435551546,-0.010333500686101615,-0.016800069715827703,-21.708807103255733
PHL,CLT,short,721.4732222849099,200,0.06227349949767813,0.07893650094047189,0.04975000047124922,0.0589000410400331,1436.1620166,1436.1620166,True,0.0,2,2,9,3,6,66.66666666666666,124,29,95,0.7889062570006774,0.8446513719308821,-0.016663001442793757,-0.00915004056878388,-26.757772691761183
DTW,PHL,short,728.0522348217404,200,0.044840999762527645,0.0704114994732663,0.03330002073198557,0.04754998371936381,728.0532405,728.0532405,True,0.0,1,1,3,2,1,33.33333333333333,33,17,16,0.6368419945317708,0.7003161331982702,-0.02557049971073866,-0.01424996298737824,-57.024820691235355
CLT,MCO,short,755.2029147248458,200,0.03878099931171164,0.05307199957314879,0.03090000245720148,0.04529999569058418,755.2039579,755.2039579,True,0.0,1,1,4,2,2,50.0,47,18,29,0.7307242919735867,0.6821193244312866,-0.014291000261437148,-0.014399993233382702,-36.85052091249579
MCO,CLT,short,755.2029147248458,200,0.03122099908068776,0.041044501413125545,0.024900014977902174,0.035999983083456755,755.2039579,755.2039579,True,0.0,1,1,3,2,1,33.33333333333333,23,11,12,0.7606621595043582,0.6916674077367719,-0.009823502332437783,-0.01109996810555458,-31.464407359450153
DTW,EWR,short,783.474541119275,200,0.03768849914195016,0.06053600081941113,0.0305499997921288,0.0467000063508749,783.4756233,783.4756233,True,0.0,1,1,4,2,2,50.0,43,17,26,0.6225799298235964,0.6541754954505796,-0.02284750167746097,-0.0161500065587461,-60.62194621072072
EWR,DTW,short,783.474541119275,200,0.03980500070611015,0.0477809997391887,0.032699957955628633,0.04255000385455787,783.4756233,783.4756233,True,0.0,1,1,5,2,3,60.0,61,16,45,0.8330717423951921,0.7685065803378507,-0.007975999033078551,-0.009850045898929238,-20.037680923478085
CLT,DTW,medium,805.6961398577145,200,0.0382045007427223,0.05635500041535124,0.03409999771974981,0.04650000482797623,805.6972527,805.6972527,True,0.0,1,1,5,2,3,60.0,58,18,40,0.6779256580808276,0.7333332081555809,-0.01815049967262894,-0.012400007108226418,-47.50879953872054
PHX,SLC,medium,817.7440672985483,200,0.04179299983661622,0.034413500980008394,0.027700007194653153,0.0342000275850296,817.7451968,817.7451968,True,0.0,1,1,3,2,1,33.33333333333333,26,9,17,1.2144361557661556,0.8099410775556887,0.0073794988566078246,-0.006500020390376449,17.657260511226582
EWR,CLT,medium,850.2863956391844,200,0.04743649915326387,0.05710899975383654,0.03609998384490609,0.04159999662078917,850.2875701,850.2875701,True,0.0,1,1,6,2,4,66.66666666666666,78,16,62,0.8306308875612397,0.8677881436861823,-0.009672500600572675,-0.005500012775883079,-20.39041829229753
FLL,ATL,medium,936.441360903343,200,0.03085999982431531,0.047251499781850725,0.02850001328624785,0.03319996176287532,936.4426544,936.4426544,True,0.0,1,1,4,2,2,50.0,33,10,23,0.6531009590550313,0.8584351238053828,-0.016391499957535416,-0.004699948476627469,-53.11568389776908
DTW,ATL,medium,958.1975914992888,200,0.04602599976351485,0.060156999388709664,0.04460004856809974,0.04769995575770736,1170.2648363,1170.2648363,True,0.0,2,2,9,3,6,66.66666666666666,126,35,91,0.7650979974269305,0.9350123676140573,-0.014130999625194818,-0.0030999071896076202,-30.702211136750932
DEN,PHX,medium,968.5377553801859,200,0.027813499909825623,0.05631949956296012,0.026900030206888914,0.04549999721348286,968.5390932,968.5390932,True,0.0,1,1,3,2,1,33.33333333333333,28,18,10,0.493852042821024,0.5912094913033912,-0.028505999653134495,-0.018599967006593943,-102.48979720478917
DEN,LAS,medium,1009.3646205052879,200,0.04237749963067472,0.04665499960538,0.028900045435875654,0.045199994929134846,1009.366015,1009.366015,True,0.0,1,1,4,2,2,50.0,37,18,19,0.9083163645721686,0.6393816079224242,-0.004277499974705279,-0.01629994949325919,-10.093799804104142
CLT,FLL,medium,1019.2738618657621,200,0.06312800047453493,0.062236499798018485,0.043599982745945454,0.04499999340623617,1019.27527,1019.27527,True,0.0,1,1,9,2,7,77.77777777777779,123,18,105,1.0143244025517133,0.9688886474348527,0.0008915006765164435,-0.001400010660290718,1.4122111738293808
MIA,CLT,medium,1049.4002848138857,200,0.029665000329259783,0.05650000006426126,0.0295999925583601,0.041000021155923605,1065.1775155999999,1065.1775155999999,True,0.0,2,2,4,3,1,25.0,42,23,19,0.5250442530180491,0.7219506654835848,-0.026834999735001475,-0.011400028597563505,-90.46013631266688
PHL,ORD,medium,1088.3236696135468,200,0.05193900055019185,0.05969399964669719,0.041700026486068964,0.04840001929551363,1104.4423931000001,1104.4423931000001,True,0.0,2,2,7,3,4,57.14285714285714,97,27,70,0.870087460341009,0.8615704516864581,-0.007754999096505344,-0.006699992809444666,-14.930974824999211
SLC,SEA,medium,1106.7145030449092,200,0.05321299977367744,0.07733900070888922,0.0476500135846436,0.05139998393133283,2272.6587956000003,2272.6587956000003,True,0.0,2,2,10,3,7,70.0,129,28,101,0.688048711334865,0.9270433556613763,-0.024126000935211778,-0.0037499703466892242,-45.33854704268343
BOS,CLT,medium,1170.6751261733011,200,0.06851149984868243,0.05094500054838136,0.040950020775198936,0.046200002543628216,1170.676743,1170.676743,True,0.0,1,1,6,2,4,66.66666666666666,78,19,59,1.3448130162177259,0.8863640372428216,0.017566499300301075,-0.005249981768429279,25.64022002014148
JFK,ORD,medium,1187.8355870120465,200,0.046537000162061304,0.05274300026940182,0.032699957955628633,0.04244997398927808,1187.837228,1187.837228,True,0.0,1,1,4,2,2,50.0,51,16,35,0.8823350951663467,0.7703175027595521,-0.006206000107340515,-0.009750016033649445,-13.335625600551438
ATL,JFK,medium,1222.0934389187266,200,0.054873999615665525,0.06714200018905103,0.0501000031363219,0.0464499753434211,1222.095127,1222.095127,True,0.0,1,1,12,2,10,83.33333333333334,162,19,143,0.8172827657972264,1.0785797573823206,-0.012268000573385507,0.0036500277929008007,-22.35667284927272
MCO,IAH,medium,1372.000405800551,200,0.05087949975859374,0.03733350109541789,0.03659998765215278,0.037299992982298136,1372.002301,1372.002301,True,0.0,1,1,5,2,3,60.0,60,11,49,1.3628376194494765,0.9812330975376439,0.013545998663175851,-0.000700005330145359,26.623686804011637
LAX,DEN,medium,1385.139205415772,200,0.04494049964705482,0.04942450032103807,0.03125000512227416,0.04360004095360637,1385.141119,1385.141119,True,0.0,1,1,5,2,3,60.0,48,17,31,0.9092757509968273,0.71674256351104,-0.004484000673983246,-0.012350035831332207,-9.977638676024615
PHL,MCO,medium,1388.5554902269255,200,0.04555800056550652,0.04522550036199391,0.04435001756064594,0.03320001997053623,1388.557408,1388.557408,True,0.0,1,1,8,2,6,75.0,113,10,103,1.0073520514057603,1.3358430988898473,0.000332500203512609,0.011149997590109706,0.7298393243454937
LAS,SEA,medium,1395.1092057509343,200,0.03771299961954355,0.04488999838940799,0.03619998460635543,0.035999983083456755,1395.111133,1395.111133,True,0.0,1,1,6,2,4,66.66666666666666,66,12,54,0.840120315719194,1.0055556004688952,-0.00717699876986444,0.000200001522898674,-19.030569942108745
ATL,MSP,medium,1459.7181270186938,200,0.06698600016534328,0.04783749987836927,0.05250005051493645,0.046900007873773575,1459.720143,1459.720143,True,0.0,1,1,13,2,11,84.61538461538461,178,19,159,1.4002822123994905,1.1194038742218295,0.019148500286974013,0.005600042641162872,28.585824261352034
IAH,ORD,medium,1490.6518824102207,200,0.05126750038471073,0.0580715000978671,0.03649998689070344,0.04184999852441251,1490.653941,1490.653941,True,0.0,1,1,6,2,4,66.66666666666666,81,16,65,0.8828340975919395,0.8721622025724032,-0.006803999713156372,-0.005350011633709073,-13.271565147704179
DFW,CLT,medium,1503.206927537807,200,0.039435999060515314,0.05595600028755143,0.038700003642588854,0.04460004856809974,1503.209004,1503.209004,True,0.0,1,1,7,2,5,71.42857142857143,91,17,74,0.7047680116137369,0.8677121412434761,-0.01652000122703612,-0.005900044925510883,-41.890662391197075
MCO,JFK,medium,1521.388614274919,200,0.06440400029532611,0.08206649945350364,0.05030003376305103,0.0543000060133636,1625.7343716999999,1625.7343716999999,True,0.0,2,2,10,4,6,60.0,135,39,96,0.7847782069931647,0.9263356941557586,-0.017662499158177525,-0.003999972250312567,-27.42453741566626
SEA,LAX,medium,1536.9096838729727,200,0.04430500150192529,0.05307700048433617,0.03300001844763756,0.04840001929551363,1775.1059313,1775.1059313,True,0.0,2,2,5,3,2,40.0,56,28,28,0.8347306949834208,0.6818182911488312,-0.008771998982410878,-0.015400000847876072,-19.799116770213153
FLL,IAH,medium,1551.5348292584895,200,0.0468619997263886,0.05594199988991022,0.03850000211969018,0.0433000095654279,1657.904092,1657.904092,True,0.0,2,2,7,3,4,57.14285714285714,80,21,59,0.8376890318295664,0.8891453490677702,-0.009080000163521618,-0.0048000074457377195,-19.376040750579726
DFW,MCO,medium,1582.4157316486303,200,0.04988750035408884,0.04836599953705445,0.042899977415800095,0.046200002543628216,1582.417917,1582.417917,True,0.0,1,1,8,2,6,75.0,109,17,92,1.0314580662365662,0.9285708886117096,0.0015215008170343935,-0.003300025127828121,3.0498638060339034
DFW,SLC,medium,1589.4643642336023,200,0.06498249975265935,0.0589734993991442,0.05019997479394078,0.04710000939667225,1589.46656,1589.46656,True,0.0,1,1,10,2,8,80.0,137,17,120,1.101893230260003,1.065816661970508,0.006009000353515148,0.0030999653972685337,9.24710556901781
PHL,FLL,medium,1600.6274630963787,200,0.06943649990716949,0.03545800020219758,0.056999968364834785,0.03319996176287532,1600.629674,1600.629674,True,0.0,1,1,11,2,9,81.81818181818183,156,10,146,1.9582745645894046,1.7168684943659478,0.03397849970497191,0.023800006601959467,48.93463776313348
ORD,MCO,medium,1620.0831318136934,200,0.07183450070442632,0.055816000676713884,0.05259999306872487,0.04260000423528254,1620.08537,1620.08537,True,0.0,1,1,12,2,10,83.33333333333334,178,16,162,1.2869875991383106,1.234741498573844,0.016018500027712435,0.00999998883344233,22.29917361522832
PHL,MIA,medium,1634.2404123723134,200,0.0690194999333471,0.06256450054934248,0.05500001134350896,0.049399968702346087,1698.5309656999998,1698.5309656999998,True,0.0,2,2,12,4,8,66.66666666666666,166,31,135,1.1031735141706085,1.1133612588887514,0.006454999384004623,0.005600042641162872,9.35242850243524
IAH,MSP,medium,1666.9116598602661,200,0.046557999739889055,0.05272650043480098,0.045199994929134846,0.04205000004731119,1666.913962,1666.913962,True,0.0,1,1,10,2,8,80.0,128,16,112,0.8830094801656788,1.0749106986511188,-0.006168500694911927,0.003149994881823659,-13.24906724810817
EWR,FLL,medium,1716.8328256299758,200,0.058634499728213996,0.04361850064015016,0.04919996717944741,0.041599967516958714,1716.835197,1716.835197,True,0.0,1,1,11,2,9,81.81818181818183,156,16,140,1.3442575711610278,1.1826924422330491,0.015015999088063836,0.007599999662488699,25.609494679185218
DTW,IAH,medium,1730.8726864303042,200,0.06483800039859489,0.05569400091189891,0.05339999916031957,0.04469999112188816,1730.875077,1730.875077,True,0.0,1,1,12,2,10,83.33333333333334,173,17,156,1.1641828444173128,1.1946310909706488,0.009143999486695975,0.008700008038431406,14.1028400482476
MIA,JFK,medium,1757.121516123796,200,0.07994250016054139,0.07347650040173903,0.053149997256696224,0.0619000056758523,1935.7079294,1935.7079294,True,0.0,3,3,12,6,6,50.0,162,67,95,1.0880009217021627,0.8586428494857227,0.006465999758802354,-0.008750008419156075,8.088313157353433
FLL,DFW,medium,1798.9239552855797,200,0.059730500215664506,0.0588414998492226,0.05299999611452222,0.04740001168102026,2019.5252054,2019.5252054,True,0.0,3,3,12,4,8,66.66666666666666,161,37,124,1.0151083906548934,1.1181431023938815,0.0008890003664419055,0.005599984433501959,1.4883524551645433
DTW,DEN,medium,1802.2967600715726,200,0.06338150007650256,0.04537699976935983,0.05640002200379968,0.04339998122304678,1802.29925,1802.29925,True,0.0,1,1,13,2,11,84.61538461538461,189,17,172,1.3967759084702647,1.2995402397512896,0.018004500307142735,0.013000040780752897,28.406554413213627
DTW,FLL,medium,1818.2973566187509,200,0.07542299979832023,0.05552700022235513,0.06079999729990959,0.04569999873638153,1818.299868,1818.299868,True,0.0,1,1,14,2,12,85.71428571428571,207,17,190,1.3583121633852462,1.3304157326268595,0.019895999575965106,0.015099998563528061,26.379220700803018
FLL,ORD,medium,1905.3933635953615,200,0.05791249917820096,0.03489299939246848,0.05000003147870302,0.03319996176287532,1905.395995,1905.395995,True,0.0,1,1,11,2,9,81.81818181818183,145,10,135,1.6597168539973994,1.5060267790613477,0.023019499785732478,0.016800069715827703,39.748759097582386
ATL,DEN,medium,1926.6178280266222,200,0.06898550054756925,0.060766500246245414,0.059999991208314896,0.05050003528594971,1926.620489,1926.620489,True,0.0,1,1,15,2,13,86.66666666666667,211,19,192,1.13525544943378,1.1881178076128651,0.008219000301323831,0.009499955922365189,11.914098232361713
LAS,IAH,medium,1962.789206460367,200,0.04375550022814423,0.04639650112949312,0.04269997589290142,0.03609998384490609,1962.791918,1962.791918,True,0.0,1,1,7,2,5,71.42857142857143,82,12,70,0.9430775847950726,1.1828253463034895,-0.002641000901348889,0.006599992047995329,-6.035814669192496
FLL,BOS,medium,1994.3029127297125,200,0.0707674998557195,0.06337150000035763,0.05560001591220498,0.053800002206116915,2050.7722719,2050.7722719,True,0.0,2,2,13,4,9,69.23076923076923,178,36,142,1.1167086127884007,1.0334575024586785,0.007395999855361879,0.001800013706088066,10.451124980309912
ORD,SLC,long,2006.1548227624428,200,0.07161949964938685,0.042939999839290977,0.06150000263005495,0.04199997056275606,2006.157594,2006.157594,True,0.0,1,1,16,2,14,87.5,229,16,213,1.6678970637501853,1.464286803205304,0.028679499810095876,0.01950003206729889,40.04426161938623
MSP,PHX,long,2051.707832102017,200,0.06806749966926873,0.047903499798849225,0.0570000265724957,0.03940000897273421,2051.710666,2051.710666,True,0.0,1,1,14,2,12,85.71428571428571,206,14,192,1.4209295762332568,1.4467008525795295,0.020163999870419502,0.017600017599761486,29.623535414689528
DFW,PHL,long,2092.876657283358,200,0.06860900059109554,0.04706050007371232,0.05790003342553973,0.044300046283751726,2092.879548,2092.879548,True,0.0,1,1,15,2,13,86.66666666666667,198,17,181,1.4578893229700307,1.306997131666117,0.021548500517383218,0.013599987141788006,31.40768752165719
PHL,IAH,long,2129.4835088611494,200,0.06749199965270236,0.04281349974917248,0.06079999729990959,0.03575001028366387,2129.48645,2129.48645,True,0.0,1,1,13,2,11,84.61538461538461,178,10,168,1.5764186541187135,1.7006987359579147,0.024678499903529882,0.025049987016245723,36.565074424405154
EWR,DFW,long,2204.7901408863736,200,0.06446999992476776,0.04668950132327154,0.05790003342553973,0.04529999569058418,2204.793186,2204.793186,True,0.0,1,1,13,2,11,84.61538461538461,178,16,162,1.3808243416091885,1.2781465548257112,0.01778049860149622,0.01260003773495555,27.57949220140358
JFK,DFW,long,2234.896132049454,200,0.06471650034654886,0.04922100022668019,0.05989999044686556,0.046600005589425564,2234.899219,2234.899219,True,0.0,1,1,13,2,11,84.61538461538461,178,16,162,1.3148148158002964,1.2854073661411323,0.015495500119868666,0.013299984857439995,23.94366202883682
IAH,EWR,long,2250.545086627395,200,0.07416249951347709,0.06467600062023848,0.06669998401775956,0.0513000413775444,2306.8821159999998,2306.8821159999998,True,0.0,2,2,16,4,12,75.0,208,45,163,1.1466772651719914,1.3001935715193436,0.009486498893238604,0.015399942640215158,12.79150373230703
PHX,ORD,long,2313.425886292582,200,0.06697950040688738,0.044985999120399356,0.05629999213851988,0.04369998350739479,2588.7067276,2588.7067276,True,0.0,2,2,11,3,8,72.72727272727273,148,23,125,1.4888965837487613,1.2883298257765465,0.021993501286488026,0.012600008631125093,32.83616801093141
MSP,FLL,long,2396.0161017471937,200,0.07715950021520257,0.05123399925651029,0.06609997944906354,0.03980001201853156,2396.019411,2396.019411,True,0.0,1,1,18,2,16,88.88888888888889,254,14,240,1.5060214180995823,1.660803002227393,0.025925500958692282,0.02629996743053198,33.59988191523334
LAX,MSP,long,2467.2941748789767,200,0.05477850005263463,0.04524399933870882,0.043199979700148106,0.04369998350739479,2467.297583,2467.297583,True,0.0,1,1,9,2,7,77.77777777777779,115,17,98,1.2107351439590466,0.988558260962225,0.009534500713925809,-0.000500003807246685,17.405552734675943
DEN,PHL,long,2500.3905970170435,200,0.07260249898536131,0.05387599958339706,0.058800040278583765,0.04499999340623617,2500.394051,2500.394051,True,0.0,1,1,15,2,13,86.66666666666667,210,18,192,1.3475851872219404,1.3066677532098296,0.018726499401964247,0.013800046872347593,25.79318847652893
ATL,PHX,long,2549.0812304898345,200,0.07307399995625019,0.058145500079263,0.061350001487880945,0.05019997479394078,2549.084751,2549.084751,True,0.0,1,1,16,2,14,87.5,229,19,210,1.2567438556145687,1.222112197062019,0.014928499876987189,0.011150026693940163,20.429290699735837
