algo,src,dst,haul_category,direct_distance_km,runs,mean_time_ms,median_time_ms,min_time_ms,stdev_time_ms,cost_km,hops,expanded_nodes,relaxations,heap_pushes,status
ASTAR,ORD,DTW,short,376.38863271849743,200,0.04594353000015872,0.0428339999984928,0.04204599997592595,0.005946373505560844,376.3891526,1,2,16,17,OK
DIJKSTRA,LAS,LAX,short,379.99427342364186,200,0.3467423000020631,0.02301349999811464,0.022347000026456953,4.543351663889538,379.9947983,1,2,12,13,OK
ASTAR,LAS,LAX,short,379.99427342364186,200,0.04351894999928163,0.038052000007837705,0.03685299998323899,0.008605452997591093,379.9947983,1,2,12,13,OK
DIJKSTRA,LAX,LAS,short,379.99427342364186,200,0.02873310499865056,0.025608500038742932,0.025047999997696024,0.005362383554731908,379.9947983,1,2,17,18,OK
ASTAR,LAX,LAS,short,379.99427342364186,200,0.05259446499906062,0.04543399998624409,0.044265000042287284,0.03382980695270832,379.9947983,1,2,17,18,OK
DIJKSTRA,LAS,PHX,short,410.84865923201306,200,0.030298019998440395,0.027967500017211933,0.027289000001928798,0.005015148567167401,410.8492267,1,3,29,19,OK
ASTAR,LAS,PHX,short,410.84865923201306,200,0.3636272600016355,0.03760399999919173,0.036695000005693146,4.541001818171552,410.8492267,1,2,12,13,OK
DIJKSTRA,PHX,LAS,short,410.84865923201306,200,0.035885845000791505,0.03189449998330929,0.03118600000107108,0.006960178912434531,974.3565005,2,4,36,25,OK
ASTAR,PHX,LAS,short,410.84865923201306,200,0.05185150000045269,0.04861600001504485,0.04769700001361343,0.0064294334593665795,974.3565005,2,3,26,19,OK
DIJKSTRA,PHL,BOS,short,450.1419761839607,200,0.02345692999909943,0.021870999972861682,0.021459999970829813,0.0038565305013708215,450.1425979,1,2,10,11,OK
ASTAR,PHL,BOS,short,450.1419761839607,200,0.35953623000239077,0.03405800001132775,0.033014000052844494,4.5426377755709355,450.1425979,1,2,10,11,OK
DIJKSTRA,MSP,ORD,short,536.9953198971815,200,0.027339415000540157,0.023978499996246683,0.02311400004373354,0.005393082965339662,536.9960616,1,2,14,15,OK
ASTAR,MSP,ORD,short,536.9953198971815,200,0.04398788000031573,0.03946050000536161,0.03865999997287872,0.008179884106323476,536.9960616,1,2,14,15,OK
DIJKSTRA,ORD,MSP,short,536.9953198971815,200,0.033109114999092526,0.02881349999483973,0.02833600001395098,0.008304474004583144,536.9960616,1,3,33,20,OK
ASTAR,ORD,MSP,short,536.9953198971815,200,0.3677014250030197,0.04261349999978847,0.041597000006277085,4.540899245214593,536.9960616,1,2,16,17,OK
DIJKSTRA,LAS,SLC,short,591.9385974194728,200,0.034942190001743256,0.030586999997694875,0.02974799997446098,0.007847591084116895,591.939415,1,4,38,21,OK
ASTAR,LAS,SLC,short,591.9385974194728,200,0.041014364998375186,0.037369000011722164,0.036580000028152426,0.006609501518122448,591.939415,1,2,12,13,OK
